[2016-04-13 13:08:11,407][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 13:08:12,292][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 13:08:12,949][DEBUG][com.jzctb.mis.action.EncryptAction.validate(EncryptAction.java:28)] - 请输入要加密或解密的源字符串
[2016-04-13 13:08:14,493][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 13:08:14,609][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 13:08:14,740][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 13:08:14,770][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 13:08:14,770][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 13:08:14,770][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 13:08:14,785][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
[2016-04-13 13:08:14,801][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 13:08:14,801][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 13:08:14,801][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.313501000006.ONLINE.OUT
[2016-04-13 13:08:14,816][DEBUG][com.jzctb.mq.MQConnector.getMessageFromQueue(MQConnector.java:186)] - 当前队列中没有消息
[2016-04-13 13:08:15,294][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:45)] - servletRequest.getRequestURI() = [/mis/view/idbrowser.do]
[2016-04-13 13:08:15,294][INFO ][com.jzctb.mis.filter.LoginFilter.doFilter(LoginFilter.java:48)] - servletRequest.getContextPath() = [/mis]
[2016-04-13 13:08:15,294][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:28)] - browser()--------------------------
[2016-04-13 13:08:15,294][DEBUG][com.jzctb.mq.IDVerification.init(IDVerification.java:34)] - init()--------------------------
[2016-04-13 13:08:15,294][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:60)] - get()--------------------------
[2016-04-13 13:08:15,310][DEBUG][com.jzctb.mq.IDVerification.get(IDVerification.java:88)] - 当前队列中没有消息
[2016-04-13 13:08:15,310][DEBUG][com.jzctb.mq.IDVerification.browser(IDVerification.java:30)] - 
[2016-04-13 13:08:15,970][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:65)] - QM_PICP_313501000006_01+188.177.155.26+9010+PBC.EXT.ONLINE.IN+PBC.EXT.ONLINE.IN+PBC.313501000006.ONLINE.OUT+SVRCONN
[2016-04-13 13:08:15,970][DEBUG][com.jzctb.mq.MQConnector.initMq(MQConnector.java:76)] - Connecting to QueueManager QM_PICP_313501000006_01 on 188.177.155.26
[2016-04-13 13:08:15,986][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:126)] - Opening queue: PBC.EXT.ONLINE.IN
[2016-04-13 13:08:15,986][DEBUG][com.jzctb.mq.MQConnector.openQueue(MQConnector.java:135)] - 2045
[2016-04-13 13:08:15,991][DEBUG][com.jzctb.mq.MQConnector.putMessageToQueue(MQConnector.java:150)] - Sending message: 1111111
[2016-04-13 13:08:15,992][DEBUG][com.jzctb.mq.MQSend.send(MQSend.java:51)] - Message sent.
[2016-04-13 13:08:15,992][DEBUG][com.jzctb.mq.MQConnector.closeQueue(MQConnector.java:198)] - Closing queue and disconnecting QueueManager...
